x z velocity
42.92 2038.94 195.15
43.69 2038.84 201.58
81.51 2034.37 4000.00
42.29 2039.03 183.40
63.65 2038.20 258.32
40.00 2038.79 143.95
43.27 2038.60 201.53
36.34 2038.45 117.30
22.96 2040.46 104.33
42.54 2038.79 193.27
10.99 2040.09 198.30
44.36 2038.99 209.81
44.68 2038.81 212.45
76.33 2035.72 653.21
71.07 2034.48 427.13
45.99 2038.73 212.62
85.68 2033.44 328.17
46.33 2039.00 229.98
47.68 2039.03 251.75
23.66 2040.50 103.39
45.66 2038.92 214.04
56.67 2038.66 312.29
48.29 2039.03 251.45
84.96 2033.98 787.34
37.68 2039.06 103.30
38.67 2038.93 128.89
33.66 2039.51 130.65
117.94 2035.05 224.63
43.51 2037.34 279.95
35.70 2039.13 103.99
79.14 2034.64 263.51
36.07 2038.90 104.64
36.37 2039.24 101.68
31.21 2039.55 184.93
54.57 2038.79 291.79
36.70 2039.03 101.66
102.33 2034.96 318.98
51.33 2038.83 288.51
49.97 2038.68 267.38
138.50 2033.57 161.86
114.07 2034.54 212.71
48.93 2038.90 268.67
97.86 2034.49 290.68
50.33 2038.91 255.25
49.64 2038.99 279.59
111.52 2033.74 207.29
128.74 2035.21 142.81
39.31 2038.82 142.93
38.98 2039.09 133.85
79.92 2034.97 250.96
51.65 2039.02 302.85
34.92 2039.28 106.17
65.59 2037.64 389.29
62.01 2038.14 196.32
110.01 2033.88 171.82
136.22 2033.83 180.70
64.45 2037.82 332.64
65.12 2037.49 381.85
110.00 2034.36 119.04
74.97 2035.93 456.05
105.29 2034.40 169.99
64.26 2038.10 282.58
12.12 2040.19 164.89
67.28 2037.34 345.27
67.61 2037.43 340.72
52.72 2038.68 324.44
91.45 2033.74 297.12
64.86 2037.89 338.84
93.38 2034.82 229.47
66.70 2037.38 361.04
65.95 2037.33 385.74
26.67 2038.57 315.99
61.33 2038.19 257.69
68.24 2037.17 318.64
60.98 2038.54 399.19
30.95 2039.25 206.43
64.97 2036.39 483.23
55.71 2038.84 319.38
54.94 2038.93 293.16
63.91 2038.01 276.52
47.96 2038.86 253.95
63.81 2037.69 342.39
36.75 2038.60 115.68
56.05 2038.68 329.42
54.30 2039.03 285.45
37.41 2037.99 289.09
70.51 2036.50 334.35
55.32 2038.63 306.04
48.29 2038.32 264.03
58.26 2038.74 201.25
56.34 2038.96 328.85
47.01 2038.93 244.50
31.91 2038.92 221.95
57.00 2038.78 291.65
33.94 2039.29 115.01
58.57 2038.51 251.96
57.65 2038.90 245.84
44.72 2038.39 232.24
45.36 2037.85 249.45
58.97 2038.73 281.15
61.69 2038.32 197.53
66.05 2036.73 404.40
97.04 2034.38 281.86
69.85 2034.66 440.45
70.25 2036.82 316.31
41.02 2038.95 171.02
73.98 2035.78 356.95
23.07 2039.29 225.38
12.34 2041.05 109.70
71.50 2035.49 390.63
102.87 2034.37 328.31
10.53 2040.95 107.65
11.22 2040.73 107.47
94.97 2035.18 236.17
119.08 2033.97 248.12
10.28 2041.23 108.01
50.02 2037.63 297.51
16.04 2040.65 163.18
15.68 2040.92 157.83
45.12 2038.32 232.57
125.99 2035.38 175.85
14.02 2040.84 123.10
54.35 2038.44 314.66
14.99 2040.86 145.46
13.04 2040.94 112.75
41.97 2038.89 182.77
116.39 2034.99 218.56
14.32 2041.00 129.16
11.98 2040.71 109.18
46.67 2038.75 238.88
3.81 2041.12 214.46
84.32 2034.88 4000.00
80.61 2034.83 3975.63
112.10 2034.31 169.48
68.99 2037.08 312.61
106.14 2033.89 168.44
57.31 2038.63 271.67
108.05 2033.78 160.31
89.49 2033.94 372.97
68.57 2036.86 312.07
2.14 2042.14 169.16
92.77 2034.42 260.61
135.66 2034.49 173.51
30.06 2039.00 248.21
9.54 2039.82 320.85
118.55 2034.42 238.24
134.32 2034.74 129.07
1.00 2042.16 154.76
100.98 2035.01 303.75
2.25 2041.77 197.84
4.94 2041.63 189.72
136.90 2033.35 207.21
105.12 2033.98 296.57
24.67 2040.20 104.80
4.54 2041.46 190.75
99.68 2034.50 307.32
32.98 2039.49 150.44
8.62 2041.12 144.06
95.25 2034.94 225.45
27.68 2040.15 169.08
17.63 2040.89 174.10
88.61 2034.63 253.92
26.99 2040.07 155.44
27.34 2039.83 163.17
105.26 2033.50 366.65
97.67 2035.17 265.51
27.55 2039.36 198.92
26.23 2040.24 124.83
66.92 2036.04 358.89
34.53 2039.14 108.16
31.88 2039.41 168.31
62.32 2038.41 208.43
12.71 2040.72 112.38
29.37 2039.63 201.87
55.17 2038.06 354.01
29.72 2039.90 200.37
28.98 2039.90 196.58
17.86 2040.66 174.47
7.95 2041.16 153.40
31.59 2039.65 180.77
27.99 2039.93 174.54
139.96 2032.58 209.02
62.96 2038.22 236.94
19.66 2040.72 168.41
20.34 2040.63 152.08
37.34 2038.91 102.71
30.07 2039.72 197.93
18.52 2040.46 178.96
38.35 2039.12 121.81
18.95 2040.66 177.38
18.23 2040.78 174.55
35.10 2038.21 340.11
43.04 2037.99 233.62
19.99 2040.44 157.36
26.55 2039.86 149.51
23.99 2040.21 104.95
117.36 2035.06 223.20
51.97 2038.72 326.82
28.56 2038.74 293.27
20.67 2040.44 147.84
45.31 2038.74 215.25
22.30 2040.61 107.12
21.65 2040.63 124.26
32.61 2039.32 157.57
46.10 2038.34 247.96
25.85 2040.12 120.57
25.62 2040.39 105.84
40.69 2038.78 165.02
126.61 2035.32 167.60
35.29 2038.89 106.12
34.28 2039.44 109.30
61.07 2037.81 809.32
62.31 2037.87 233.19
84.89 2033.48 767.59
87.42 2034.64 130.80
87.05 2034.80 123.63
107.96 2034.24 108.79
104.27 2034.66 245.97
104.57 2034.43 231.68
103.55 2034.79 265.52
126.11 2033.70 254.24
64.14 2037.54 336.89
12.63 2040.21 164.23
44.05 2038.65 205.23
79.63 2035.22 390.49
106.96 2034.60 107.68
107.63 2034.46 108.51
32.29 2039.63 164.41
37.00 2039.21 101.26
104.97 2034.71 206.24
35.62 2037.55 834.13
106.62 2034.43 109.69
105.65 2034.58 149.83
57.91 2038.63 206.77
53.07 2038.98 311.97
87.70 2034.92 149.31
103.52 2033.94 320.12
1.70 2042.18 161.51
73.05 2035.47 386.38
86.72 2034.55 113.76
86.33 2034.83 108.78
10.91 2041.10 106.16
66.36 2037.60 368.02
69.41 2035.72 320.65
39.66 2038.98 143.33
52.32 2038.91 331.10
88.39 2034.24 212.85
102.94 2034.92 300.88
88.31 2034.93 200.10
85.32 2034.63 3190.26
89.37 2034.56 326.93
88.97 2034.81 285.16
89.73 2034.88 381.26
47.91 2038.46 278.37
44.31 2038.23 233.95
91.00 2035.00 330.42
28.31 2040.09 180.87
99.64 2035.13 297.04
103.16 2034.68 273.57
37.17 2038.49 116.94
84.99 2034.87 3995.41
110.31 2034.56 126.27
100.60 2034.77 298.72
98.35 2035.08 280.38
135.88 2033.96 179.36
81.67 2035.08 4000.00
137.63 2033.98 177.20
140.35 2033.53 111.75
22.59 2040.31 106.02
68.06 2035.87 337.58
133.99 2034.50 122.82
137.18 2033.84 179.34
25.24 2039.91 124.12
136.50 2034.12 176.18
18.54 2039.46 256.42
109.69 2034.55 111.50
136.33 2033.41 207.38
140.04 2033.35 122.76
8.31 2041.36 149.48
14.04 2040.41 152.03
80.34 2034.31 295.29
138.29 2033.97 170.93
83.92 2034.17 3999.67
138.88 2033.65 157.02
139.70 2033.59 131.62
17.61 2040.34 184.63
13.70 2041.03 116.59
137.91 2033.76 174.12
108.32 2034.54 106.90
14.11 2039.17 253.55
118.28 2035.22 225.41
136.27 2034.39 171.46
111.00 2034.47 147.41
48.56 2038.72 264.52
41.94 2038.55 197.49
111.69 2034.59 164.12
60.34 2038.62 660.01
113.41 2034.57 202.37
112.40 2034.56 181.95
41.68 2039.04 180.22
111.36 2034.26 156.39
69.85 2035.99 317.29
132.91 2034.88 112.06
133.25 2034.54 118.68
78.95 2035.33 366.45
71.14 2035.77 368.34
14.64 2040.70 140.24
114.38 2034.76 215.41
128.74 2034.45 183.93
114.77 2034.62 216.65
115.05 2034.92 216.97
61.07 2037.14 748.08
16.36 2040.83 167.18
113.69 2034.78 208.67
133.67 2034.70 117.81
110.64 2034.26 140.04
19.87 2039.97 209.19
108.67 2034.24 108.69
80.98 2035.02 3999.40
9.65 2041.25 124.25
42.29 2038.46 196.43
57.64 2037.85 539.27
92.07 2034.75 298.06
38.18 2036.66 902.33
57.01 2037.32 452.48
75.98 2035.46 580.11
56.38 2038.38 370.49
18.27 2039.94 204.06
92.71 2034.88 259.60
69.32 2035.20 429.47
25.00 2040.43 104.00
92.37 2035.05 270.93
100.28 2034.99 296.74
6.99 2041.50 173.57
138.13 2033.35 173.48
95.61 2035.10 219.70
112.04 2033.78 211.09
96.37 2035.01 224.02
93.70 2035.03 228.48
133.03 2034.01 209.10
97.04 2035.16 249.22
91.36 2034.73 311.84
91.70 2034.93 293.56
81.97 2034.88 4000.00
96.30 2033.45 420.68
71.95 2036.20 359.37
72.31 2036.38 350.09
95.98 2034.75 207.43
44.99 2039.00 213.80
70.93 2036.64 339.72
110.43 2033.77 174.85
69.72 2036.41 320.67
71.23 2036.31 353.45
40.34 2039.03 154.58
136.89 2034.19 176.58
71.63 2036.50 355.46
