x z velocity
42.92 2038.94 561.27
43.70 2038.85 449.78
75.06 2035.26 529.77
42.29 2039.03 650.97
63.65 2038.20 295.34
39.99 2038.77 436.50
43.29 2038.62 495.65
36.25 2038.49 1319.68
19.85 2040.54 212.11
42.55 2038.79 584.25
12.09 2040.22 149.36
44.37 2039.00 487.38
44.69 2038.84 513.71
18.37 2040.78 222.94
29.97 2039.79 157.30
45.99 2038.77 687.88
77.25 2035.37 531.97
46.33 2039.01 661.88
47.67 2039.04 719.66
30.53 2039.65 166.49
45.66 2038.94 643.58
56.68 2038.66 422.53
48.28 2039.03 674.97
69.44 2035.73 582.67
37.66 2039.06 335.30
38.66 2038.92 344.01
33.67 2039.53 178.67
117.93 2035.05 248.01
43.59 2037.41 623.35
35.67 2039.15 1826.82
85.55 2033.99 457.15
36.02 2038.93 2417.84
36.35 2039.24 1730.94
32.56 2038.96 194.53
54.58 2038.79 470.36
36.67 2039.04 1265.17
102.34 2034.95 373.70
51.33 2038.83 572.52
49.97 2038.69 499.11
138.50 2033.56 173.66
114.07 2034.56 251.52
48.93 2038.91 547.94
97.83 2034.53 395.36
50.33 2038.91 500.85
49.64 2039.00 481.92
111.52 2033.79 231.33
128.75 2035.20 157.01
39.30 2038.81 392.55
38.98 2039.09 360.80
79.91 2035.01 311.43
51.65 2039.02 608.72
34.90 2039.32 516.36
65.59 2037.64 378.46
62.01 2038.16 205.94
111.60 2032.75 310.08
136.22 2033.82 184.76
64.45 2037.83 329.07
65.12 2037.49 382.18
110.00 2034.38 134.76
82.56 2034.75 3997.15
105.34 2034.42 201.84
64.26 2038.10 300.53
9.65 2041.26 168.81
67.29 2037.34 426.13
67.62 2037.43 430.21
52.72 2038.68 816.74
92.20 2033.69 462.20
65.95 2037.33 370.81
76.96 2035.65 614.98
66.70 2037.38 383.90
66.36 2037.60 363.79
1.70 2042.18 181.82
61.32 2038.20 231.64
68.24 2037.17 440.72
60.97 2038.55 365.81
25.92 2040.13 188.55
63.60 2036.07 1548.37
55.72 2038.85 461.36
54.94 2038.93 473.51
63.90 2038.02 308.27
47.96 2038.87 710.65
63.80 2037.70 410.78
36.68 2038.62 1167.58
56.07 2038.69 468.30
54.30 2039.03 435.95
37.30 2037.99 525.23
70.52 2036.51 447.21
55.33 2038.63 480.45
48.27 2038.36 708.01
58.26 2038.74 255.72
56.34 2038.97 442.74
47.01 2038.95 666.21
32.09 2038.96 203.44
57.00 2038.79 389.92
33.94 2039.35 183.05
58.58 2038.52 334.89
57.65 2038.90 320.19
44.74 2038.45 556.67
45.39 2037.97 800.61
58.98 2038.73 400.48
61.68 2038.33 190.31
66.05 2036.73 661.24
97.02 2034.46 394.94
71.20 2034.52 566.62
70.25 2036.83 432.11
41.02 2038.95 669.73
74.01 2035.83 472.21
20.28 2039.75 260.58
12.33 2041.05 116.99
71.56 2035.53 547.93
102.93 2034.35 373.71
10.53 2040.97 123.55
11.22 2040.75 117.80
94.98 2035.19 362.53
119.03 2033.99 276.61
10.29 2041.24 129.91
49.99 2037.66 717.33
15.65 2040.87 199.59
15.98 2040.68 202.40
45.14 2038.39 582.11
126.00 2035.37 205.90
13.46 2040.67 128.90
54.36 2038.44 551.47
14.98 2041.01 188.21
13.03 2040.92 123.51
41.98 2038.89 675.38
116.38 2035.00 251.25
13.76 2040.98 138.91
11.98 2040.73 117.11
46.67 2038.78 669.30
3.81 2041.11 282.90
92.81 2034.40 371.02
80.59 2034.88 1013.88
112.09 2034.33 203.82
69.00 2037.08 449.32
85.14 2033.25 557.18
57.33 2038.64 361.03
99.23 2033.58 426.26
27.16 2039.53 363.72
68.57 2036.87 454.39
2.14 2042.14 194.23
30.46 2038.90 275.91
135.65 2034.49 165.83
16.99 2040.15 245.13
9.59 2039.88 303.35
118.52 2034.43 263.36
134.31 2034.73 142.39
1.00 2042.16 156.82
100.99 2035.01 378.95
2.25 2041.77 226.91
4.94 2041.62 237.75
136.89 2033.33 213.53
105.21 2034.00 290.55
18.71 2040.62 223.60
4.55 2041.46 239.97
99.68 2034.48 385.39
33.00 2039.53 168.37
8.63 2041.13 192.17
95.26 2034.96 367.96
26.98 2040.23 282.22
16.63 2040.71 214.02
88.58 2034.61 300.68
26.28 2040.23 230.62
26.59 2040.02 279.36
105.41 2033.55 326.34
97.67 2035.18 383.99
20.43 2039.20 381.27
34.21 2038.85 233.74
66.93 2036.05 762.03
34.50 2039.20 420.51
31.97 2039.39 155.43
62.32 2038.42 222.45
7.00 2041.50 218.24
30.29 2039.91 159.51
55.19 2038.07 719.39
30.91 2039.76 166.85
31.22 2039.44 168.34
15.30 2040.74 197.96
24.29 2039.56 163.16
31.64 2039.62 162.84
28.28 2039.97 269.61
139.96 2032.55 215.76
62.96 2038.23 263.85
20.23 2040.67 208.77
21.00 2040.50 208.14
37.31 2038.91 489.09
29.04 2039.96 219.87
16.33 2040.91 207.87
38.35 2039.12 325.18
20.56 2040.29 210.01
17.63 2040.75 220.43
34.99 2038.36 580.82
43.08 2038.02 668.78
19.62 2040.79 218.19
25.03 2040.45 123.13
24.08 2040.12 114.13
117.35 2035.07 249.19
51.97 2038.72 721.06
31.02 2038.92 276.06
21.65 2040.66 199.94
45.32 2038.77 606.06
22.58 2040.24 126.83
22.26 2040.49 138.37
32.66 2039.37 162.26
46.10 2038.41 813.69
23.68 2040.37 113.25
25.64 2040.40 144.16
40.69 2038.77 625.51
126.61 2035.31 196.92
35.24 2038.95 1291.98
34.27 2039.47 209.47
61.06 2037.85 650.05
62.29 2037.89 257.91
84.78 2033.56 685.93
87.39 2034.65 254.04
87.04 2034.81 244.06
7.96 2041.17 201.83
104.30 2034.66 278.51
104.63 2034.43 255.79
103.57 2034.79 325.99
131.48 2033.68 214.42
64.13 2037.55 390.95
12.70 2040.70 121.09
44.07 2038.67 441.23
79.63 2035.24 273.45
106.97 2034.62 121.00
107.65 2034.49 118.78
32.33 2039.64 151.04
36.98 2039.21 876.55
104.99 2034.71 228.63
35.42 2037.69 978.49
106.65 2034.45 126.24
105.68 2034.59 179.81
57.92 2038.64 265.75
53.07 2038.98 653.09
87.69 2034.92 264.65
103.62 2033.92 378.57
18.00 2040.52 221.38
64.86 2037.89 335.69
86.69 2034.56 243.39
86.32 2034.83 236.37
10.91 2041.11 119.64
83.65 2034.94 3995.25
74.98 2035.95 533.98
39.65 2038.97 411.67
52.32 2038.91 799.67
88.34 2034.23 336.63
102.95 2034.91 356.01
88.30 2034.93 294.12
85.29 2034.65 332.21
89.35 2034.53 294.11
88.95 2034.80 298.03
89.73 2034.87 298.98
47.90 2038.49 703.09
44.34 2038.29 519.09
91.00 2034.99 307.91
22.98 2040.52 118.87
99.64 2035.12 380.65
103.19 2034.67 333.07
37.10 2038.50 988.92
84.98 2034.88 725.92
110.31 2034.57 145.35
100.61 2034.76 376.53
98.34 2035.09 385.37
135.87 2033.95 183.60
81.67 2035.09 3848.53
140.35 2033.52 127.84
136.27 2034.39 171.06
16.96 2040.88 216.23
74.65 2035.83 493.37
133.98 2034.49 137.48
137.18 2033.83 183.99
19.56 2040.21 234.35
136.49 2034.12 179.59
16.15 2040.22 242.73
109.69 2034.56 123.10
136.32 2033.39 213.46
140.04 2033.34 141.17
84.61 2034.67 1826.54
9.94 2041.06 142.40
72.22 2034.97 500.96
138.29 2033.97 178.17
78.95 2035.34 274.06
138.88 2033.64 170.29
139.70 2033.58 149.77
14.37 2041.04 176.64
8.32 2041.36 197.62
137.91 2033.75 179.65
108.33 2034.55 115.91
13.71 2040.08 193.60
118.28 2035.22 248.82
136.89 2034.19 180.13
110.99 2034.49 171.50
48.55 2038.74 590.10
41.95 2038.55 676.86
111.69 2034.60 194.99
60.34 2038.63 670.39
113.41 2034.58 247.64
112.40 2034.57 222.04
41.68 2039.04 699.73
111.35 2034.28 182.99
69.87 2036.00 557.08
132.91 2034.87 121.92
133.24 2034.53 131.16
87.59 2034.27 308.62
83.96 2034.71 3902.01
11.00 2040.13 182.06
114.38 2034.77 251.48
128.76 2034.41 184.58
114.76 2034.63 251.55
115.05 2034.92 250.25
61.06 2037.21 665.20
14.71 2040.55 212.99
113.69 2034.79 252.06
133.67 2034.69 131.24
110.64 2034.28 162.13
18.80 2039.51 292.88
108.68 2034.28 118.40
80.28 2035.19 293.91
89.45 2033.88 371.19
42.31 2038.46 673.44
57.67 2037.88 947.51
92.08 2034.73 339.39
39.03 2037.35 691.26
57.06 2037.36 948.68
75.99 2035.53 557.76
56.40 2038.39 525.48
12.60 2040.21 149.21
92.73 2034.87 344.64
69.36 2036.49 540.94
23.15 2039.69 170.97
92.38 2035.05 343.53
100.29 2034.98 374.70
68.79 2034.89 747.06
138.13 2033.34 181.97
95.61 2035.12 368.94
112.03 2033.82 234.66
96.37 2035.04 374.80
93.72 2035.03 344.43
133.01 2033.99 187.96
97.04 2035.18 380.76
91.37 2034.71 317.61
91.70 2034.91 327.28
81.95 2034.90 3990.05
96.29 2033.66 439.53
71.97 2036.22 470.91
72.32 2036.39 471.50
95.99 2034.81 371.14
44.99 2039.01 554.72
70.94 2036.64 442.07
110.01 2033.93 181.17
69.73 2036.42 530.64
71.25 2036.33 472.84
40.34 2039.03 531.92
137.62 2033.97 182.22
71.64 2036.51 466.69
9.94 2040.66 188.66
75.66 2035.74 547.68
73.31 2035.94 484.62
11.64 2040.98 115.23
21.92 2040.34 154.43
81.89 2034.52 3859.07
33.87 2038.98 219.81
81.47 2032.71 796.53
74.34 2036.06 498.96
79.85 2034.53 766.75
103.87 2034.46 293.67
71.69 2034.98 495.33
82.28 2034.38 3913.72
27.26 2040.01 286.90
121.42 2034.49 282.62
73.11 2035.52 435.82
135.26 2034.25 162.88
97.37 2035.01 382.51
99.32 2034.98 382.10
23.35 2039.14 228.96
132.28 2035.05 116.04
87.96 2034.37 322.63
118.66 2035.00 252.98
107.28 2034.32 121.56
115.40 2034.79 249.87
96.74 2034.86 377.94
60.65 2038.42 481.11
128.39 2035.38 159.80
117.65 2035.24 248.44
54.01 2038.53 577.66
104.73 2034.00 293.82
119.05 2035.25 255.90
59.67 2038.60 714.08
126.96 2035.50 192.69
129.02 2035.41 149.24
119.66 2035.45 260.62
53.70 2039.05 452.64
129.32 2035.22 144.10
84.30 2034.89 3554.40
122.36 2033.94 312.51
121.62 2035.48 270.49
120.27 2035.37 265.94
94.68 2035.03 360.09
109.02 2034.47 117.69
122.61 2035.12 270.23
120.57 2035.20 269.00
125.02 2035.45 229.45
122.99 2035.36 265.03
122.29 2035.51 271.37
132.52 2034.78 121.94
119.93 2035.21 263.89
99.92 2034.84 377.26
127.65 2035.34 178.56
127.28 2035.15 185.16
58.64 2038.07 686.93
62.61 2038.15 253.82
40.12 2038.37 657.75
123.35 2035.15 259.53
59.42 2037.56 978.52
124.02 2035.37 244.16
123.69 2035.57 250.06
38.65 2038.49 356.21
60.61 2038.04 681.81
126.31 2035.54 201.92
128.04 2035.07 166.58
28.65 2039.68 252.61
59.32 2038.44 560.99
112.38 2033.40 260.34
130.27 2035.15 124.95
67.00 2037.56 401.56
14.13 2040.82 146.86
70.31 2036.00 553.82
107.97 2034.28 118.91
57.59 2038.38 357.74
27.89 2039.81 278.36
10.31 2040.57 176.33
3.62 2041.88 220.93
18.63 2039.94 262.04
4.27 2041.80 233.46
24.45 2036.54 1300.53
90.70 2034.79 305.56
93.40 2034.83 342.10
19.01 2040.82 221.72
19.23 2040.32 236.21
24.41 2040.42 111.44
25.32 2039.97 135.14
25.69 2039.83 146.89
30.28 2039.31 176.13
26.72 2039.52 343.76
27.61 2040.16 284.73
24.82 2039.53 161.61
25.34 2040.29 133.06
21.32 2040.32 206.60
21.58 2040.00 218.27
22.63 2039.74 176.94
23.32 2040.17 116.75
90.10 2034.69 306.85
90.74 2034.31 346.50
93.66 2033.85 410.20
95.06 2034.61 377.17
92.39 2034.27 379.79
93.01 2035.08 342.74
85.91 2034.19 388.79
90.37 2034.97 306.24
82.94 2034.89 3998.03
85.65 2034.86 209.49
84.57 2034.26 1363.35
85.96 2034.61 234.14
72.75 2034.51 544.08
79.13 2034.71 535.23
76.34 2035.74 624.23
87.86 2033.35 385.42
107.04 2033.89 166.91
110.42 2033.82 187.08
106.34 2034.65 130.63
106.63 2034.01 171.98
101.68 2034.89 383.31
102.62 2034.79 363.57
132.92 2032.74 305.45
140.69 2033.25 125.56
139.24 2033.31 159.59
139.29 2031.42 367.07
134.94 2034.47 156.24
135.93 2034.29 169.60
129.70 2034.11 197.70
136.67 2032.14 296.33
134.25 2034.14 156.14
134.58 2034.38 153.63
131.03 2035.13 116.78
130.64 2034.88 121.61
116.32 2033.93 265.16
117.74 2034.72 253.64
115.07 2034.22 256.01
115.68 2034.99 248.34
113.06 2034.73 244.83
113.50 2034.15 246.87
109.38 2034.29 121.52
109.60 2033.84 178.15
99.01 2035.15 383.38
99.29 2034.61 388.54
98.09 2034.07 422.69
102.59 2034.45 382.01
100.70 2034.32 392.21
101.34 2034.72 382.30
97.42 2034.61 394.65
98.01 2034.93 385.57
94.36 2035.17 357.31
94.70 2034.68 375.72
86.86 2032.98 505.78
84.89 2034.02 809.88
78.59 2035.22 298.31
83.85 2034.22 2737.21
120.97 2035.48 269.44
121.86 2034.74 281.26
127.23 2034.06 255.67
126.58 2034.80 215.07
123.60 2034.68 260.69
124.32 2035.59 239.11
119.38 2035.15 257.67
119.64 2034.92 261.93
120.64 2034.74 282.04
121.91 2035.26 270.63
117.03 2035.17 249.55
117.38 2034.75 253.42
129.29 2034.87 156.56
132.25 2034.44 134.27
128.21 2034.48 189.99
129.63 2035.35 139.92
125.68 2035.59 216.81
125.95 2035.00 223.78
41.37 2038.79 682.66
42.47 2038.00 688.06
39.34 2037.91 595.46
46.56 2038.42 809.73
47.35 2038.80 680.76
47.51 2038.42 722.94
54.59 2038.01 735.69
54.00 2038.89 421.11
51.01 2039.02 540.18
51.31 2038.35 637.49
49.23 2038.69 516.14
49.27 2038.21 682.50
45.90 2038.00 842.66
63.56 2036.79 594.58
33.34 2039.34 175.25
34.36 2038.38 534.01
31.35 2038.46 364.58
40.60 2038.37 659.92
29.68 2039.97 175.44
29.94 2039.42 184.96
38.01 2038.86 234.97
38.23 2038.42 340.69
40.42 2037.51 663.17
39.07 2038.38 372.38
66.61 2036.61 639.37
67.21 2037.00 513.36
66.85 2036.99 521.10
67.86 2037.09 449.14
64.75 2036.98 503.02
69.85 2033.17 812.09
63.27 2038.04 289.30
64.17 2037.11 522.20
55.27 2036.76 1091.96
62.44 2037.34 624.76
60.01 2038.40 950.80
60.20 2037.99 649.35
83.26 2034.67 3995.19
78.01 2034.87 479.28
81.31 2034.85 3201.46
76.18 2035.14 572.51
69.64 2037.01 457.70
69.10 2036.13 610.98
53.43 2038.82 603.04
53.46 2038.07 881.49
51.73 2038.24 663.70
47.72 2037.41 802.74
19.67 2039.80 264.09
19.29 2040.66 220.14
16.58 2040.27 242.48
17.26 2040.58 221.28
14.25 2040.06 204.79
14.69 2040.88 182.99
8.98 2041.31 185.65
29.58 2038.44 527.66
24.77 2040.25 113.39
15.21 2039.94 253.27
106.02 2034.39 157.06
108.08 2033.86 163.54
106.22 2033.94 181.63
102.02 2034.72 384.55
103.06 2033.92 385.41
99.82 2033.91 423.45
105.95 2033.50 308.95
131.68 2035.13 114.41
3.28 2041.73 222.36
131.91 2034.57 131.65
115.48 2034.35 255.11
116.07 2034.79 247.49
112.79 2034.42 228.89
113.10 2034.01 245.13
108.57 2033.86 161.56
117.52 2033.88 269.46
98.69 2034.92 385.29
98.89 2034.54 391.49
95.83 2034.23 399.57
93.26 2034.34 367.75
94.08 2034.89 351.40
95.26 2034.19 399.80
91.12 2032.96 546.89
94.85 2033.72 418.27
85.75 2032.23 482.54
66.62 2035.51 1157.24
83.38 2034.17 2896.68
85.99 2033.41 491.57
