Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
0,,,,,,,-106.84857022,40.48844040,2037.842,Global,0.100,0.088,0.280,0.133,1.934,m,SINGLE,RTK,2026-05-19 14:23:56.2 UTC-06:00,2026-05-19 14:23:56.2 UTC-06:00,1,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
1,,,,,,,-106.84858096,40.48843587,2037.902,Global,0.100,0.090,0.270,0.135,1.934,m,SINGLE,RTK,2026-05-19 14:24:41.4 UTC-06:00,2026-05-19 14:24:41.4 UTC-06:00,1,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
7,,,,,,,-106.84863672,40.48840533,2038.744,Global,0.099,0.079,0.210,0.127,1.934,m,SINGLE,RTK,2026-05-19 14:25:30.6 UTC-06:00,2026-05-19 14:25:30.6 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
13,,,,,,,-106.84869341,40.48837268,2039.042,Global,0.098,0.078,0.210,0.125,1.934,m,SINGLE,RTK,2026-05-19 14:26:00.8 UTC-06:00,2026-05-19 14:26:00.8 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
19,,,,,,,-106.84875061,40.48834110,2039.534,Global,0.096,0.083,0.230,0.127,1.934,m,SINGLE,RTK,2026-05-19 14:26:31.0 UTC-06:00,2026-05-19 14:26:31.0 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
25,,,,,,,-106.84880658,40.48830777,2040.176,Global,0.098,0.078,0.220,0.125,1.934,m,SINGLE,RTK,2026-05-19 14:26:50.8 UTC-06:00,2026-05-19 14:26:50.8 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
31,,,,,,,-106.84886219,40.48827568,2040.366,Global,0.098,0.077,0.220,0.125,1.934,m,SINGLE,RTK,2026-05-19 14:27:12.4 UTC-06:00,2026-05-19 14:27:12.4 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
37,,,,,,,-106.84891817,40.48824392,2040.570,Global,0.099,0.081,0.230,0.128,1.934,m,SINGLE,RTK,2026-05-19 14:27:34.8 UTC-06:00,2026-05-19 14:27:34.8 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
43,,,,,,,-106.84897560,40.48821295,2040.803,Global,0.100,0.088,0.250,0.133,1.934,m,SINGLE,RTK,2026-05-19 14:27:58.0 UTC-06:00,2026-05-19 14:27:58.0 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
48,,,,,,,-106.84902259,40.48818474,2041.023,Global,0.095,0.082,0.220,0.125,1.934,m,SINGLE,RTK,2026-05-19 14:28:34.6 UTC-06:00,2026-05-19 14:28:34.6 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
49,,,,,,,-106.84903264,40.48817972,2041.251,Global,0.094,0.082,0.220,0.125,1.934,m,SINGLE,RTK,2026-05-19 14:28:52.6 UTC-06:00,2026-05-19 14:28:52.6 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
