x z
0.00 2032.55
1.00 2032.55
2.00 2032.55
4.00 2032.55
6.00 2032.68
8.00 2032.80
10.00 2032.91
12.00 2033.01
14.00 2033.10
16.00 2033.17
18.00 2033.24
20.00 2033.30
22.00 2033.35
24.00 2033.39
26.00 2033.42
28.00 2033.45
30.00 2033.47
32.00 2033.49
34.00 2033.50
36.00 2033.51
38.00 2033.52
40.00 2033.52
42.00 2033.52
44.00 2033.52
46.00 2033.52
48.00 2033.52
50.00 2033.51
52.00 2033.51
54.00 2033.51
56.00 2033.51
58.00 2033.52
60.00 2033.53
62.00 2033.54
64.00 2033.56
66.00 2033.58
68.00 2033.61
70.00 2033.64
72.00 2033.68
74.00 2033.73
76.00 2033.79
78.00 2033.85
80.00 2033.93
82.00 2034.01
84.00 2034.11
86.00 2034.21
88.00 2034.33
90.00 2034.46
92.00 2034.61
94.00 2034.76
96.00 2034.94
98.00 2035.12
100.00 2035.33
102.00 2035.54
104.00 2035.78
106.00 2036.02
108.00 2036.28
110.00 2036.55
112.00 2036.83
114.00 2037.12
116.00 2037.41
118.00 2037.71
120.00 2038.02
122.00 2038.33
124.00 2038.64
126.00 2038.95
128.00 2039.26
130.00 2039.57
132.00 2039.87
134.00 2040.18
136.00 2040.47
138.00 2040.76
140.00 2041.04
142.00 2041.31
