x z velocity
23.99 2032.38 210.76
0.17 2031.89 109.63
30.37 2033.34 255.65
49.41 2032.55 271.37
30.71 2032.88 234.09
6.13 2030.78 257.72
1.70 2032.26 101.80
25.34 2033.07 213.77
0.11 2032.38 100.43
32.97 2033.29 224.31
3.89 2031.84 190.04
3.96 2032.22 169.38
2.97 2032.29 116.88
12.99 2032.05 237.03
14.52 2032.23 202.80
1.89 2032.38 102.09
6.40 2032.44 391.59
2.53 2032.12 112.36
4.29 2032.40 188.61
14.64 2032.65 195.07
1.47 2032.43 101.11
7.76 2032.07 351.69
4.98 2032.27 257.69
10.34 2032.77 332.44
7.65 2032.63 479.87
5.70 2032.45 322.78
28.71 2032.95 208.48
5.46 2031.09 258.30
41.38 2033.17 147.83
8.68 2032.31 406.13
44.54 2033.02 103.38
9.06 2032.56 405.33
8.29 2032.59 429.49
48.30 2032.39 305.18
6.10 2032.21 343.11
35.02 2032.70 212.59
34.66 2032.78 208.20
9.72 2032.73 379.30
10.06 2032.59 358.49
36.90 2032.13 219.61
53.35 2033.01 221.56
12.29 2032.89 250.00
52.76 2032.56 239.32
12.91 2032.84 231.58
13.22 2032.57 217.32
55.71 2032.30 229.14
9.45 2032.42 391.97
51.31 2032.69 189.71
13.64 2032.80 211.42
41.44 2032.74 167.18
13.96 2032.62 203.69
49.30 2032.99 226.60
19.26 2032.66 114.05
15.66 2032.96 181.05
34.35 2033.33 210.10
49.90 2032.58 257.82
16.33 2032.88 170.07
18.29 2033.09 123.96
43.63 2032.88 117.44
38.40 2032.37 215.34
14.99 2032.86 191.32
37.64 2033.37 206.40
18.92 2033.01 117.21
20.02 2032.70 108.87
28.14 2032.58 223.55
42.22 2032.28 173.60
32.17 2032.54 212.90
20.35 2033.07 103.70
30.14 2033.12 225.56
22.03 2032.97 106.21
21.05 2033.01 102.91
33.42 2031.86 227.97
19.67 2032.93 111.05
29.73 2032.40 209.07
14.32 2032.92 199.53
40.37 2033.24 164.07
0.91 2030.43 554.14
22.32 2033.17 111.68
24.07 2032.87 131.29
7.56 2031.17 265.04
9.75 2032.06 330.00
26.28 2033.15 266.33
10.57 2032.18 316.93
27.06 2033.06 261.53
26.67 2032.79 263.43
7.36 2032.47 468.38
25.92 2032.98 266.72
3.67 2032.39 142.06
25.65 2033.25 231.88
27.72 2033.24 231.78
18.31 2032.43 143.81
14.06 2032.20 204.11
15.99 2032.67 174.64
29.77 2033.25 217.62
19.43 2031.44 221.35
30.99 2033.34 272.19
29.04 2033.15 206.41
11.98 2032.74 257.24
28.06 2033.04 214.65
11.03 2032.73 298.35
29.47 2032.93 210.33
13.31 2031.62 230.88
31.65 2033.23 259.16
24.38 2033.10 151.40
31.98 2033.04 240.71
51.02 2033.33 180.47
31.80 2032.11 212.97
32.64 2033.10 227.90
35.97 2032.96 225.03
22.65 2032.86 117.81
17.06 2032.97 152.25
34.97 2033.34 214.20
36.36 2033.21 217.59
128.78 2038.84 326.96
32.34 2033.30 233.75
134.04 2039.74 174.04
86.78 2032.35 221.58
41.67 2033.35 140.48
48.97 2033.20 215.06
94.02 2034.45 101.10
131.40 2037.29 233.36
36.72 2033.05 215.30
48.54 2032.97 207.38
37.02 2033.35 211.31
62.55 2032.97 187.28
123.05 2038.26 252.35
97.21 2034.18 118.27
47.27 2032.89 194.47
50.01 2033.02 241.45
140.34 2040.79 101.03
130.61 2039.25 310.48
37.90 2033.13 201.74
38.26 2033.28 198.84
118.40 2037.50 120.96
114.78 2036.75 117.96
40.05 2033.03 169.08
114.77 2036.30 139.78
41.04 2033.34 151.69
39.68 2033.31 176.14
114.29 2036.18 141.06
38.99 2033.20 188.09
111.06 2036.42 178.20
120.43 2036.97 192.81
42.71 2033.15 122.49
43.02 2033.39 114.32
116.68 2037.03 103.18
102.42 2035.37 256.40
44.24 2033.31 102.82
105.47 2034.52 232.84
46.03 2033.07 113.92
44.97 2033.23 102.78
108.68 2035.77 202.19
43.87 2033.18 103.80
102.13 2035.03 247.62
42.36 2033.29 126.60
113.67 2035.40 189.98
87.62 2033.28 164.47
126.03 2038.54 300.08
93.05 2034.42 101.16
49.67 2033.30 233.58
50.34 2033.23 212.38
88.48 2033.37 151.47
85.31 2033.87 195.50
51.64 2033.33 172.94
77.03 2033.55 421.54
52.64 2033.02 199.65
52.31 2033.23 187.41
80.20 2033.00 210.21
51.33 2033.14 175.65
90.71 2033.99 108.05
54.96 2033.35 224.74
56.34 2033.20 204.55
79.53 2032.30 223.81
72.32 2033.49 107.34
77.99 2033.55 341.83
57.01 2033.34 200.64
78.35 2033.13 274.31
58.24 2033.27 189.23
56.68 2033.03 203.41
72.46 2032.73 116.70
57.87 2033.11 190.93
86.37 2033.02 206.78
53.00 2033.30 210.01
68.35 2033.36 101.09
63.93 2032.54 181.57
58.98 2033.19 190.76
59.68 2033.31 189.45
54.63 2033.18 226.97
64.16 2032.02 172.82
61.63 2033.39 198.82
55.21 2033.09 219.75
70.35 2032.45 120.25
64.03 2033.03 161.74
66.02 2033.10 119.11
60.36 2033.25 189.93
57.63 2032.73 202.48
47.01 2033.37 162.79
63.67 2033.33 173.07
65.37 2033.18 137.05
45.67 2033.32 104.51
51.95 2033.04 181.03
66.35 2033.30 112.41
33.68 2033.20 216.18
66.72 2033.12 110.52
67.03 2033.41 106.04
55.92 2032.94 205.78
65.67 2033.38 128.81
56.12 2031.80 224.12
64.36 2033.26 156.98
61.87 2033.15 198.77
60.04 2033.04 188.58
103.75 2035.02 255.38
53.69 2033.22 229.38
37.69 2032.76 211.39
67.37 2033.23 105.00
16.72 2032.66 165.15
70.25 2033.40 101.11
69.63 2033.49 100.66
28.34 2033.25 205.94
36.30 2031.86 224.11
28.84 2031.93 210.72
71.69 2033.47 102.75
73.01 2033.40 119.97
31.30 2033.08 261.84
71.37 2033.11 102.61
23.69 2033.16 124.08
74.32 2033.55 201.55
74.02 2033.34 157.81
1.05 2031.33 234.30
3.66 2030.80 279.55
8.56 2031.73 281.16
75.70 2033.59 400.75
25.36 2032.67 284.50
76.03 2033.42 385.83
75.39 2033.30 353.70
9.07 2031.25 283.87
75.02 2033.48 340.08
25.03 2033.23 194.45
72.01 2033.28 104.52
131.73 2039.47 240.43
78.93 2033.66 246.76
80.03 2033.42 215.05
19.06 2032.02 165.97
18.55 2032.83 119.74
104.28 2035.59 238.93
80.35 2033.74 214.46
104.54 2034.78 231.02
82.01 2033.69 217.07
81.04 2033.71 215.92
119.91 2037.63 156.05
78.30 2033.71 303.37
112.95 2036.73 146.59
