x z velocity
28.07 -1.40 1225.25
21.73 -1.16 1372.00
22.66 -0.57 1345.51
1.94 -0.38 945.07
4.24 -0.88 1050.64
10.71 -0.54 1290.72
31.73 -0.26 1140.14
14.04 -0.68 1418.39
46.00 -0.50 746.05
1.65 -0.20 933.23
5.27 -0.63 1116.34
76.65 -1.49 504.13
2.13 -1.88 1023.51
70.24 -0.21 569.82
4.28 -0.18 1055.15
30.27 -1.22 1203.68
76.96 -0.13 488.05
4.91 -0.27 1090.51
84.01 -0.42 307.88
6.36 -0.20 1155.88
5.69 -0.36 1128.96
83.66 -0.18 314.40
88.69 -0.44 125.69
9.96 -0.46 1275.02
6.05 -0.56 1140.46
9.04 -0.15 1252.27
9.65 -0.16 1264.85
20.99 -0.78 1382.33
8.09 -0.56 1214.77
7.32 -1.56 1191.46
6.68 -0.40 1165.78
89.01 -0.16 119.01
10.31 -0.30 1280.67
77.59 -0.21 473.94
21.22 -0.40 1370.82
15.05 -0.74 1434.83
19.37 -0.59 1407.55
11.44 -0.40 1313.60
11.07 -0.24 1306.89
19.73 -0.25 1398.28
29.85 -0.40 1207.74
15.25 -0.38 1434.08
23.71 -0.33 1317.47
14.97 -0.15 1430.11
15.61 -0.23 1434.73
22.79 -1.06 1342.26
15.96 -0.51 1438.04
23.51 -1.62 1330.91
12.02 -0.33 1338.55
23.29 -1.06 1340.22
35.65 -0.77 986.48
16.70 -0.43 1437.71
29.29 -0.30 1214.91
17.87 -0.38 1425.34
17.01 -0.15 1433.80
32.36 -0.16 1111.65
33.13 -1.48 1087.48
18.98 -0.35 1412.32
50.99 -0.32 1041.41
20.97 -0.16 1378.65
21.59 -0.24 1367.27
50.25 -0.23 1026.97
21.91 -0.58 1358.39
44.33 -1.12 759.67
18.24 -0.24 1423.28
28.33 -0.26 1225.85
16.35 -0.28 1438.59
23.38 -0.56 1327.76
22.32 -0.34 1352.34
14.30 -1.40 1406.39
69.86 -0.34 571.69
23.01 -0.23 1335.29
63.08 -0.67 691.10
24.13 -0.56 1311.51
25.97 -0.40 1266.74
63.86 -0.98 685.23
44.24 -0.23 726.44
25.66 -0.14 1273.89
76.98 -0.66 492.44
26.66 -0.44 1255.52
27.01 -0.18 1248.07
73.74 -0.86 524.23
26.32 -0.25 1261.02
72.09 -1.30 545.03
25.04 -0.14 1284.08
44.97 -0.32 729.00
69.01 -0.13 583.73
30.54 -0.61 1191.29
77.73 -1.00 479.03
30.23 -0.25 1205.86
29.62 -0.15 1212.59
67.68 -0.18 602.41
79.60 -0.67 424.62
31.37 -0.63 1163.18
76.65 -0.27 493.07
32.67 -0.34 1101.54
32.97 -0.17 1090.35
75.70 -0.24 509.27
32.09 -0.42 1131.27
80.52 -0.52 380.97
30.97 -0.37 1178.57
78.13 -1.42 460.92
27.33 -0.37 1243.07
73.97 -0.43 524.74
2.97 -0.27 986.33
36.60 -0.55 932.37
86.53 -0.54 190.96
36.26 -0.24 953.19
35.63 -0.15 980.37
85.61 -0.67 266.83
83.36 -0.36 320.43
37.37 -0.50 906.60
2.29 -0.18 953.56
38.01 -0.37 877.86
40.61 -0.49 785.46
15.81 -1.08 1440.29
37.69 -0.19 888.83
10.44 -1.61 1288.56
37.01 -0.32 918.12
82.35 -0.29 342.10
7.68 -0.32 1203.18
40.30 -0.19 795.50
6.99 -0.20 1177.01
42.05 -0.49 751.31
43.88 -0.38 729.22
6.29 -1.02 1162.24
4.52 -0.45 1082.22
44.55 -0.55 728.78
13.70 -0.17 1406.89
50.39 -1.09 1026.10
49.89 -0.37 1019.56
18.30 -1.16 1433.54
43.63 -0.15 734.70
14.34 -0.17 1425.62
41.68 -0.21 759.80
5.07 -1.30 1089.93
39.98 -0.37 804.57
5.07 -2.82 1108.24
33.63 -0.31 1062.65
83.82 -0.88 315.68
77.84 -2.27 495.81
69.28 -0.57 581.52
17.63 -0.72 1433.84
46.33 -0.29 752.00
20.36 -0.16 1387.13
47.69 -0.30 847.62
47.01 -0.21 788.51
18.55 -0.58 1417.00
24.43 -0.23 1298.15
49.64 -0.14 995.64
25.78 -0.73 1279.56
52.03 -0.50 1049.74
51.67 -0.21 1046.67
29.60 -0.74 1212.16
57.06 -0.85 856.71
25.39 -0.61 1282.10
50.57 -0.54 1039.40
20.65 -0.70 1385.13
27.65 -0.18 1237.79
53.34 -0.37 1032.05
25.37 -0.29 1280.18
54.32 -0.28 1007.72
53.65 -0.19 1026.53
24.93 -1.12 1294.23
35.89 -0.39 960.94
55.00 -0.19 964.91
29.26 -0.65 1213.85
56.98 -0.17 848.68
57.64 -0.26 809.83
34.38 -0.24 1027.23
56.35 -0.17 880.46
29.01 -0.15 1218.06
54.66 -0.48 988.96
31.55 -1.27 1145.06
52.35 -0.29 1047.75
26.87 -0.91 1249.29
38.43 -0.91 875.38
58.32 -0.19 779.86
36.46 -2.39 985.28
59.66 -0.19 739.65
58.99 -0.27 759.81
40.98 -0.31 778.58
60.68 -0.48 717.18
60.33 -0.27 721.01
38.31 -0.18 866.87
63.98 -0.46 680.80
62.98 -0.14 689.99
51.93 -0.95 1051.89
63.62 -0.21 684.45
37.60 -0.93 888.25
57.96 -0.45 790.06
38.99 -0.30 842.21
52.16 -1.42 1058.90
64.37 -0.26 674.75
48.40 -0.22 937.88
65.02 -0.14 659.75
64.72 -0.40 670.02
53.97 -0.47 1019.68
62.37 -0.15 694.69
66.25 -0.20 633.48
64.30 -1.36 678.71
68.04 -0.41 596.23
70.54 -0.49 561.36
70.29 -1.00 574.45
66.99 -0.28 616.85
61.02 -0.20 711.48
65.89 -0.34 637.33
48.10 -0.51 874.90
69.63 -0.13 577.87
57.29 -0.43 824.41
45.66 -0.22 739.31
34.02 -0.54 1047.56
66.57 -0.48 622.71
70.97 -0.29 557.16
56.67 -0.76 867.33
71.66 -0.19 545.13
72.01 -0.46 538.81
55.69 -0.26 921.60
63.27 -0.35 686.37
73.33 -0.35 526.78
58.51 -0.86 778.53
74.32 -0.26 523.93
74.66 -0.44 521.84
58.06 -0.86 780.21
73.65 -0.17 525.74
57.31 -1.31 814.23
72.34 -0.26 532.36
59.99 -0.46 728.18
46.13 -1.39 781.39
77.93 -0.47 461.88
47.49 -1.42 824.78
78.33 -0.26 454.55
86.27 -1.09 254.88
49.66 -0.72 998.06
43.32 -0.30 737.55
79.01 -0.15 435.18
73.02 -0.17 527.76
80.23 -0.22 397.40
80.96 -0.30 375.66
73.33 -0.77 524.46
79.85 -0.35 402.11
42.37 -0.27 745.83
78.68 -0.41 447.12
47.37 -0.50 813.45
75.01 -0.18 517.18
58.64 -0.46 768.45
77.22 -0.34 477.52
81.66 -0.21 359.46
75.38 -0.42 513.82
84.35 -0.24 301.97
83.03 -0.19 325.69
74.80 -0.83 519.88
71.40 -0.89 550.24
85.01 -0.14 273.10
69.31 -0.26 580.43
86.23 -0.22 217.75
86.96 -0.32 179.95
80.26 -1.04 413.49
85.86 -0.36 224.71
68.36 -0.23 591.24
84.69 -0.38 293.53
71.30 -0.48 551.37
79.62 -0.14 419.21
87.67 -0.21 150.79
76.35 -0.14 498.23
92.37 -0.19 326.92
88.35 -0.28 127.65
78.75 -1.20 453.73
84.15 -1.31 296.72
90.23 -0.26 125.03
85.62 -0.14 248.78
91.57 -1.32 234.70
91.74 -0.28 171.94
84.77 -1.17 289.85
90.98 -0.39 138.48
87.18 -1.55 234.52
89.85 -0.42 125.10
76.64 -0.59 496.27
88.01 -0.49 138.56
83.39 -0.82 320.21
82.01 -0.49 350.78
71.89 -0.87 549.20
82.71 -0.47 335.91
65.67 -0.64 651.78
82.96 -0.93 326.19
23.07 -2.08 1346.72
3.66 -0.17 1022.68
92.10 -0.47 200.31
3.88 -0.78 1039.44
14.67 -0.68 1434.13
11.70 -0.16 1329.69
8.41 -0.24 1234.71
9.36 -0.68 1261.28
8.86 -1.20 1241.66
9.36 -0.31 1258.66
6.71 -0.86 1168.00
7.33 -0.52 1191.71
15.13 -2.45 1436.86
13.40 -0.48 1389.21
4.43 -1.38 1082.66
3.94 -0.35 1043.87
12.32 -0.17 1349.15
14.04 -0.34 1417.54
21.18 -1.21 1374.83
20.66 -0.31 1383.22
17.63 -0.15 1429.48
16.81 -1.29 1444.58
20.09 -0.40 1395.17
20.10 -1.21 1403.26
16.23 -1.52 1444.41
27.70 -2.25 1248.70
24.80 -0.37 1295.55
24.39 -1.12 1298.61
27.31 -0.84 1245.35
27.98 -0.44 1231.04
32.12 -1.29 1137.28
31.49 -2.68 1179.96
32.30 -0.81 1110.63
33.28 -0.48 1073.29
28.67 -0.41 1222.67
29.71 -1.20 1206.29
27.75 -0.92 1241.36
32.66 -0.72 1104.46
35.02 -0.15 1000.99
35.30 -0.68 994.00
40.38 -0.93 804.59
43.65 -0.73 743.79
39.68 -0.18 815.94
39.97 -0.81 811.12
38.02 -0.80 880.94
38.64 -0.48 853.36
53.02 -0.19 1036.39
53.34 -0.83 1037.62
53.75 -0.93 1034.82
56.66 -0.34 864.96
54.79 -0.89 975.37
55.36 -0.46 944.01
51.32 -0.53 1044.70
51.45 -0.99 1051.16
49.03 -0.14 971.78
49.32 -0.63 991.12
61.73 -0.26 701.87
62.72 -0.61 692.07
66.37 -0.97 640.37
69.61 -0.64 579.57
65.64 -0.13 648.38
64.88 -1.15 672.76
56.04 -0.43 905.75
56.27 -0.85 878.89
60.03 -1.29 732.29
62.68 -0.28 692.90
60.83 -0.95 714.01
61.42 -0.47 708.04
59.31 -0.46 750.15
59.40 -0.86 746.20
49.84 -1.12 1020.72
49.33 -0.29 985.02
46.67 -0.49 766.66
46.80 -0.96 789.79
45.30 -0.54 734.05
45.41 -1.02 762.30
43.02 -0.15 739.85
43.31 -0.65 743.71
72.70 -0.44 529.77
72.92 -0.86 524.64
68.71 -0.37 588.83
69.74 -1.02 576.53
81.28 -0.51 367.42
81.38 -0.95 367.93
79.30 -0.28 425.63
79.26 -0.60 429.91
76.05 -0.38 506.74
77.15 -1.06 482.93
74.02 -1.31 521.98
82.07 -1.43 360.44
89.25 -2.52 299.86
92.72 -0.44 374.10
89.58 -0.79 140.26
90.54 -0.65 136.70
87.29 -0.53 165.61
87.40 -0.99 187.43
85.30 -0.28 258.78
85.27 -0.59 273.27
81.88 -0.94 366.30
87.69 -1.97 224.14
3.30 -0.44 1005.57
2.35 -0.88 976.21
3.42 -1.91 1060.72
7.13 -0.98 1173.19
10.87 -1.14 1305.17
14.64 -0.32 1428.63
8.78 -0.39 1240.05
8.31 -1.16 1234.70
4.28 -2.75 1101.22
9.84 -1.37 1278.95
3.57 -3.22 1094.61
14.37 -0.87 1427.82
13.03 -0.31 1378.20
15.26 -1.16 1439.80
12.52 -1.45 1348.57
21.14 -2.34 1388.04
17.31 -0.30 1431.83
17.29 -0.64 1434.98
20.30 -0.79 1388.23
19.53 -1.18 1405.91
24.51 -2.42 1305.24
26.84 -2.21 1255.13
25.90 -1.22 1273.19
26.53 -1.36 1268.46
35.85 -1.19 964.51
35.32 -0.31 990.06
29.35 -2.46 1211.27
36.43 -1.13 958.20
28.86 -0.76 1215.36
28.72 -1.27 1220.46
34.74 -0.39 1019.46
33.71 -1.66 1073.99
34.72 -1.19 1031.99
38.64 -1.55 863.89
41.32 -0.52 770.36
41.45 -0.99 769.80
39.34 -0.48 830.88
39.54 -0.92 817.61
41.79 -2.04 788.64
43.34 -1.65 765.30
52.71 -0.47 1044.21
52.94 -0.93 1041.28
48.77 -0.36 948.81
48.80 -1.08 904.85
47.26 -0.97 794.63
54.61 -1.42 1017.18
62.10 -0.41 699.58
63.30 -1.05 686.98
61.34 -0.94 712.35
65.59 -2.01 659.49
67.33 -0.46 610.53
67.47 -0.84 604.01
66.72 -1.40 624.57
73.26 -3.23 543.60
65.33 -0.27 653.97
65.33 -0.58 654.94
55.26 -0.87 970.59
60.53 -1.36 726.40
42.72 -0.43 744.15
43.80 -1.15 759.01
41.96 -0.96 767.37
49.04 -1.52 950.03
75.14 -1.66 518.89
75.29 -0.81 519.03
79.26 -1.47 443.38
79.38 -2.12 453.20
76.26 -0.70 500.41
76.10 -1.20 510.51
89.62 -0.16 118.43
88.67 -1.39 195.65
84.89 -0.70 277.13
90.26 -1.29 187.67
93.78 -0.33 589.07
85.26 -1.47 279.06
