x z velocity
30.26 2065.26 137.25
30.56 2064.99 141.23
74.92 2062.94 129.00
41.31 2064.60 119.05
93.27 2060.69 150.35
29.81 2065.09 139.60
66.64 2063.28 104.79
32.98 2064.96 178.99
30.97 2065.26 132.30
31.64 2065.10 134.32
82.31 2062.81 105.16
49.62 2064.48 294.75
28.83 2065.07 154.00
32.31 2065.10 148.61
34.00 2064.66 155.11
31.11 2064.45 367.11
51.88 2065.18 111.68
24.33 2066.64 125.29
20.13 2065.99 465.14
22.99 2066.78 137.62
2.33 2067.28 106.23
24.04 2066.40 155.22
64.94 2063.21 111.66
29.51 2064.54 288.55
24.94 2066.40 117.06
25.90 2066.11 137.26
29.76 2063.95 418.19
27.68 2065.85 153.20
20.32 2067.17 133.23
26.91 2065.95 206.68
26.26 2066.21 151.80
34.34 2064.84 138.53
33.51 2062.24 358.23
23.71 2066.60 158.48
6.93 2067.20 105.39
36.28 2064.70 150.27
32.63 2064.79 173.00
35.01 2064.89 128.09
35.26 2064.21 225.70
37.32 2064.43 140.41
28.93 2065.68 113.51
38.34 2064.71 167.81
35.91 2064.52 159.25
7.70 2067.10 111.38
39.05 2064.60 189.14
82.98 2062.77 103.84
39.49 2064.38 186.05
36.98 2064.75 139.56
37.67 2064.65 139.67
29.54 2065.47 118.81
22.32 2066.86 122.41
40.99 2064.83 115.45
74.32 2062.46 138.20
42.34 2064.87 117.96
42.00 2064.59 121.24
31.28 2064.93 139.14
88.06 2061.92 107.81
43.70 2064.86 118.74
46.05 2065.04 118.53
45.68 2065.27 124.72
8.34 2066.46 216.63
41.12 2064.26 145.74
44.14 2064.67 120.09
26.50 2065.85 203.67
42.66 2064.69 118.90
24.31 2066.08 144.65
40.38 2064.81 117.79
33.66 2064.97 176.43
73.98 2062.53 132.88
83.61 2061.39 203.06
4.27 2067.23 104.44
12.99 2067.27 110.41
7.30 2066.85 110.60
6.30 2067.30 103.61
42.98 2064.91 117.54
23.64 2065.20 373.72
42.21 2064.11 165.35
8.37 2067.25 134.15
76.17 2061.07 280.95
9.69 2067.15 117.47
10.11 2066.94 114.42
45.46 2064.75 164.93
8.70 2067.06 134.03
9.42 2065.97 573.98
8.07 2066.90 122.23
84.96 2061.37 207.85
16.33 2067.34 116.14
74.04 2061.59 268.83
40.30 2063.84 228.10
60.56 2062.21 350.08
6.34 2066.65 122.53
45.06 2065.20 128.13
55.60 2064.12 132.90
6.56 2067.04 105.53
0.22 2067.13 102.80
3.00 2067.28 107.71
67.54 2062.87 125.31
25.79 2065.72 167.33
64.34 2063.82 103.47
3.31 2067.12 107.79
3.64 2067.31 106.98
22.65 2066.00 327.74
73.69 2063.01 105.57
39.76 2063.82 225.24
48.67 2065.19 121.50
19.67 2067.09 114.30
16.04 2067.02 131.99
18.30 2067.23 109.80
38.01 2064.41 148.92
11.65 2067.32 106.72
84.31 2062.20 104.43
19.99 2066.91 121.99
60.02 2063.31 295.76
22.63 2066.59 133.00
23.36 2066.42 158.95
31.96 2064.85 144.97
80.99 2062.84 117.83
18.97 2067.20 109.59
10.42 2067.24 108.67
28.94 2064.60 313.83
81.98 2062.66 108.54
15.71 2067.16 139.73
35.65 2064.07 228.35
12.28 2067.22 110.04
11.93 2067.08 111.24
72.53 2062.21 214.73
51.29 2064.96 158.05
14.67 2067.12 139.36
21.89 2066.28 195.79
13.68 2067.21 114.82
40.70 2064.68 117.76
28.50 2065.22 163.78
46.06 2064.18 307.06
14.99 2067.30 141.92
19.31 2066.90 114.89
65.64 2062.77 162.37
47.16 2064.56 256.50
82.63 2062.58 105.18
29.14 2065.39 119.93
44.44 2065.04 123.63
75.30 2061.67 267.01
40.15 2064.58 134.00
74.29 2063.01 113.97
75.64 2062.86 134.02
58.66 2063.83 126.35
88.66 2061.88 104.51
76.62 2062.20 271.67
72.68 2062.70 106.51
36.69 2063.92 188.04
83.36 2062.47 104.50
79.68 2062.98 107.64
79.99 2062.79 111.63
28.59 2065.59 116.06
61.84 2063.70 107.03
20.59 2066.81 139.30
75.98 2062.65 127.53
75.22 2062.64 136.86
79.32 2062.66 108.74
41.66 2064.75 119.06
30.62 2064.47 364.88
35.63 2064.85 132.59
70.35 2063.18 106.22
23.15 2065.88 343.69
74.54 2062.79 126.89
78.30 2063.02 105.44
76.34 2062.96 114.99
77.99 2062.86 106.66
77.03 2062.92 109.45
86.26 2060.99 326.18
41.25 2063.79 280.37
84.60 2062.44 102.36
37.43 2063.47 197.23
78.97 2062.85 106.69
9.00 2067.26 129.69
51.01 2065.45 123.04
71.61 2062.96 106.01
31.31 2064.02 311.28
89.62 2061.33 126.99
61.55 2063.21 129.31
87.71 2062.13 109.08
71.58 2061.85 253.40
93.62 2061.23 142.48
92.00 2061.11 112.93
17.85 2066.70 249.05
55.90 2064.57 110.23
89.27 2061.78 103.76
90.94 2061.50 103.83
49.67 2065.52 115.84
58.66 2064.26 104.12
88.98 2061.98 103.42
87.31 2061.87 114.05
28.32 2065.80 119.35
34.67 2064.63 137.18
84.03 2062.49 102.79
43.35 2064.62 120.03
83.71 2062.65 102.95
10.79 2067.11 109.04
83.14 2061.96 226.85
25.64 2066.35 117.43
86.27 2062.40 110.04
84.33 2062.72 101.93
84.94 2062.52 102.18
18.57 2066.48 251.48
34.86 2064.15 228.01
17.66 2067.30 113.75
85.92 2062.28 108.31
86.94 2062.16 116.36
11.35 2066.88 132.38
16.57 2066.20 631.99
86.54 2062.04 117.35
69.36 2062.82 150.39
42.65 2064.20 161.29
65.99 2062.28 290.21
52.25 2065.29 107.28
32.03 2064.38 299.07
53.92 2064.90 102.27
52.87 2063.74 234.81
53.66 2065.21 102.30
40.74 2064.36 144.18
57.32 2064.35 111.59
9.18 2066.51 206.86
55.26 2064.75 103.40
54.26 2065.00 102.10
78.61 2062.69 107.50
43.42 2063.50 347.23
55.62 2064.89 103.44
52.60 2064.95 105.72
71.24 2062.85 106.48
72.32 2062.98 105.46
47.07 2065.35 111.14
68.51 2062.91 172.15
48.00 2065.24 121.27
46.77 2065.06 115.48
59.31 2064.11 104.39
36.60 2064.45 146.19
51.63 2065.43 123.25
49.03 2065.39 117.73
48.31 2065.44 119.25
38.14 2063.89 181.55
20.94 2066.93 136.26
20.27 2066.56 162.39
46.37 2065.22 113.55
49.97 2065.24 118.96
62.99 2063.90 109.50
21.98 2066.70 119.39
56.98 2064.67 112.73
18.60 2067.01 111.09
65.57 2063.62 103.41
5.98 2066.74 120.01
64.95 2063.76 102.76
35.30 2064.68 132.86
66.31 2063.48 104.39
53.02 2065.14 103.51
70.96 2063.13 104.54
67.83 2063.19 118.95
66.99 2063.53 103.76
59.67 2064.23 103.69
27.25 2065.64 187.63
24.60 2066.32 121.40
68.22 2063.30 122.94
65.88 2063.30 105.42
12.60 2067.03 112.69
21.66 2066.98 121.93
58.98 2064.39 103.34
28.66 2063.45 570.98
58.35 2064.48 104.22
38.90 2063.30 236.57
60.00 2064.05 105.81
76.70 2062.70 113.99
65.19 2063.52 103.67
39.77 2064.71 137.84
61.17 2063.94 103.94
61.56 2064.02 103.75
26.19 2064.94 330.03
5.69 2067.29 103.18
63.34 2063.61 109.75
62.28 2063.86 107.68
76.12 2062.15 274.68
38.72 2064.38 182.73
60.33 2064.24 102.82
68.96 2063.10 166.51
57.67 2064.49 108.79
45.40 2065.09 128.29
56.28 2064.70 111.82
11.81 2066.30 324.37
44.45 2064.13 279.79
15.36 2066.98 145.49
12.68 2066.57 283.18
13.33 2067.01 115.33
10.89 2066.41 255.00
11.04 2067.32 106.11
8.75 2066.62 205.91
9.36 2066.96 124.95
5.02 2067.16 103.93
5.98 2067.13 103.78
3.72 2066.70 124.45
7.58 2065.57 504.99
3.91 2067.07 105.60
4.62 2066.92 105.07
67.12 2061.31 312.50
85.45 2060.70 341.40
77.69 2063.03 106.61
77.96 2062.50 125.31
78.36 2062.34 125.41
82.64 2062.05 246.48
79.55 2062.23 157.91
80.31 2062.97 113.33
73.03 2062.90 105.12
73.98 2062.86 109.92
70.99 2062.54 121.95
75.01 2062.10 270.70
69.73 2063.14 120.46
70.63 2062.68 124.10
89.74 2060.91 152.25
91.65 2061.47 104.91
88.35 2062.10 104.48
85.65 2062.51 103.22
85.81 2061.88 142.72
81.67 2062.90 112.45
81.89 2062.28 178.12
50.30 2065.37 118.91
51.30 2065.29 124.32
54.98 2064.98 102.33
55.19 2064.27 128.88
53.56 2063.95 182.12
59.09 2063.71 128.69
