x z velocity
18.25 2038.47 235.11
10.96 2038.44 176.05
43.66 2040.53 108.07
7.04 2038.52 108.04
2.30 2037.86 167.07
4.34 2038.15 139.73
39.34 2040.54 121.76
2.66 2037.84 176.39
40.70 2040.52 106.68
7.39 2038.01 228.03
0.17 2037.10 1612.38
43.85 2039.94 167.99
8.73 2037.75 300.05
37.09 2039.89 138.96
2.16 2037.96 161.12
42.99 2040.65 101.85
1.84 2037.90 151.08
2.48 2037.96 170.43
7.26 2038.20 195.62
2.85 2037.98 179.10
3.18 2038.07 184.07
9.17 2038.83 161.74
10.52 2038.41 172.63
4.03 2038.13 150.53
4.50 2038.27 133.69
4.17 2038.24 143.68
13.85 2038.99 129.39
26.46 2039.88 191.54
5.04 2038.22 112.50
6.87 2038.18 145.74
3.53 2038.09 174.76
3.13 2037.70 216.91
7.55 2038.30 174.99
21.73 2039.65 161.86
23.25 2038.07 482.69
6.33 2038.36 103.15
22.82 2039.07 254.31
5.83 2038.52 101.51
7.68 2038.59 133.80
24.16 2039.61 149.78
20.61 2038.65 271.07
6.52 2038.51 103.13
7.84 2038.71 136.40
8.02 2038.59 138.81
7.36 2038.56 124.37
25.20 2039.74 210.42
6.72 2038.42 104.55
25.72 2039.86 216.51
6.14 2038.51 102.00
19.86 2039.50 132.88
3.38 2037.97 182.69
8.40 2038.58 148.78
38.00 2040.38 110.54
8.18 2038.71 144.49
8.75 2038.66 156.47
40.82 2040.09 135.99
31.18 2040.24 105.76
9.04 2038.74 158.87
10.37 2038.68 135.22
9.83 2038.83 146.45
17.36 2039.14 106.37
29.16 2040.20 103.71
9.33 2038.73 159.03
19.18 2039.42 112.04
10.18 2038.78 137.53
33.28 2039.71 145.86
10.52 2038.85 124.72
6.79 2037.86 310.52
10.70 2038.75 120.90
26.02 2039.63 192.94
3.03 2037.90 180.91
12.35 2038.71 103.25
5.79 2037.77 253.60
11.83 2038.93 101.91
12.14 2038.89 102.34
36.13 2040.42 100.48
16.65 2039.09 119.28
12.86 2038.94 103.18
8.55 2038.73 154.73
13.03 2038.85 104.73
14.00 2038.90 135.15
21.39 2038.85 187.60
13.51 2038.93 117.49
12.28 2038.39 171.82
12.54 2038.85 102.89
24.54 2040.01 112.24
19.51 2039.50 122.96
14.16 2039.00 141.58
39.42 2039.92 146.44
14.87 2039.05 145.15
14.72 2038.84 147.12
7.51 2038.69 129.70
39.80 2040.60 116.91
15.05 2038.96 145.83
12.73 2038.75 103.62
15.54 2039.06 149.55
16.83 2039.19 115.16
16.31 2038.98 149.35
10.50 2035.86 1034.34
5.97 2038.42 102.11
16.49 2039.19 124.25
32.12 2040.27 114.81
14.52 2038.93 146.46
27.54 2039.91 227.52
27.81 2040.19 183.66
17.33 2038.20 436.92
8.01 2038.33 175.19
28.46 2039.61 260.67
17.18 2039.22 106.62
8.87 2038.81 158.36
46.72 2040.70 120.30
18.19 2039.27 103.29
12.89 2038.54 115.87
23.69 2039.82 112.49
25.80 2038.88 301.90
23.19 2039.53 141.93
17.25 2038.75 156.77
11.68 2038.84 102.21
17.52 2039.27 104.34
17.60 2038.88 130.94
28.75 2039.43 275.46
21.39 2039.58 159.47
26.83 2040.19 197.47
25.04 2039.84 192.32
25.37 2039.83 212.78
17.84 2039.31 103.77
18.70 2039.32 102.85
20.32 2037.97 414.96
44.59 2040.41 143.89
18.03 2039.16 104.12
18.96 2039.11 117.92
20.85 2039.60 156.24
10.84 2038.87 113.89
9.44 2038.36 185.59
16.80 2038.72 158.80
43.28 2040.61 104.14
18.53 2039.38 102.39
38.87 2040.54 124.50
22.30 2039.73 148.05
32.18 2039.81 134.94
17.01 2039.09 111.67
16.42 2038.85 153.24
36.30 2040.28 100.75
15.34 2038.71 163.57
14.00 2038.68 152.17
23.85 2039.93 111.69
17.93 2038.69 209.00
23.36 2039.84 113.44
26.73 2039.61 188.12
22.01 2039.74 158.14
23.61 2039.59 143.61
24.19 2040.00 110.32
24.86 2040.09 117.22
25.18 2040.10 136.62
20.04 2039.43 135.39
22.10 2039.09 188.57
26.02 2040.02 189.73
17.44 2038.52 234.60
26.18 2040.11 191.01
26.48 2039.66 178.67
16.18 2039.19 132.27
28.00 2040.04 169.47
