x z velocity
18.24 2038.46 219.21
10.94 2038.43 185.06
43.65 2040.53 124.94
7.04 2038.52 130.13
2.30 2037.86 167.00
4.34 2038.15 163.95
39.34 2040.54 131.53
2.66 2037.84 174.28
40.70 2040.52 115.72
7.38 2038.01 208.44
0.17 2037.10 1061.31
43.83 2039.98 186.67
8.70 2037.74 295.66
37.10 2039.89 141.99
2.16 2037.96 160.93
42.99 2040.66 108.97
1.84 2037.90 154.34
2.48 2037.96 169.63
7.25 2038.20 180.26
2.85 2037.98 175.23
3.18 2038.07 177.44
9.17 2038.83 178.05
10.50 2038.39 187.22
4.03 2038.13 166.92
4.50 2038.27 160.46
4.17 2038.24 165.11
13.84 2038.99 143.46
26.46 2039.88 183.16
5.04 2038.22 137.96
6.86 2038.18 170.00
3.53 2038.09 178.52
3.13 2037.70 209.42
7.54 2038.30 181.67
21.72 2039.66 167.08
23.19 2038.10 545.17
6.33 2038.36 117.42
22.79 2039.09 231.61
5.83 2038.52 111.10
7.68 2038.59 156.39
24.15 2039.61 153.66
20.59 2038.70 244.04
6.52 2038.51 117.89
7.84 2038.71 159.74
8.01 2038.59 164.39
7.36 2038.56 145.48
25.20 2039.74 174.99
6.71 2038.42 121.99
25.72 2039.86 184.09
6.14 2038.51 113.33
19.86 2039.50 147.40
3.38 2037.97 179.25
8.39 2038.58 173.43
38.01 2040.37 125.32
8.18 2038.71 169.49
8.75 2038.65 179.41
40.82 2040.10 141.49
31.18 2040.24 120.41
9.03 2038.74 180.57
10.36 2038.68 153.67
9.82 2038.83 164.72
17.36 2039.13 118.25
29.16 2040.20 119.43
9.32 2038.73 175.99
19.18 2039.43 126.59
10.17 2038.78 155.54
33.28 2039.71 158.01
10.52 2038.85 144.62
6.79 2037.86 290.27
10.69 2038.74 141.24
26.02 2039.63 205.45
3.03 2037.90 176.59
12.34 2038.71 115.66
5.79 2037.77 223.43
11.82 2038.92 110.54
12.14 2038.88 112.50
36.13 2040.42 103.59
16.65 2039.09 131.73
12.86 2038.94 117.47
8.55 2038.73 178.04
13.03 2038.85 121.39
14.00 2038.90 147.32
21.36 2038.90 207.35
13.51 2038.93 135.97
12.26 2038.38 181.47
12.53 2038.84 115.36
24.54 2040.01 125.74
19.51 2039.50 137.32
14.16 2039.00 150.83
39.42 2039.92 152.15
14.86 2039.04 154.72
14.71 2038.83 156.97
7.51 2038.69 151.76
39.80 2040.60 127.78
15.04 2038.96 153.95
12.72 2038.75 117.64
15.53 2039.05 153.63
